role_id,role_name,role_label,cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,cluster_7_prob,cluster_8_prob,cluster_9_prob,cluster_10_prob
48,焰尾,1,0.03335558400227549,0.2273389391479624,0.06809071904789055,0.008074199938135898,0.21822033196340448,0.14057266331120574,0.0152685881090887,0.18726709777300674,0.004809271126411907,0.0970026055806181
49,耀骑士临光,0,0.17393033222349405,0.03577417726546315,0.15851239394985706,0.10429169102192067,0.018192919130923964,0.0991693741664141,0.14362160878569527,0.0645071254156377,0.07205310815014933,0.1299472698904447
50,灵知,0,0.1738361217676061,0.03151762505898091,0.1443683189380352,0.1255939030641712,0.016264377100282258,0.08690280879623942,0.15961143181809087,0.05649133945079193,0.0910143341736453,0.11439973983215679
51,老鲤,1,0.04572172046936226,0.1976178752392857,0.0875437161035105,0.011756110789052733,0.16321022131197224,0.15752348151656287,0.021789578090050523,0.18900021298638336,0.007053230714012553,0.11878385277980719
52,令,2,0.14162684965228972,0.06300792728092958,0.16424746856151531,0.06409543343978284,0.03435697779997834,0.13544195530246783,0.09751541142086384,0.10114441547926764,0.04221578179292868,0.15634777926997623
53,澄闪,2,0.14758414656501279,0.05715236363644799,0.16483753975853524,0.07062336196780612,0.030594646849379983,0.12948910599142316,0.10510374271042511,0.09418373818768233,0.04710386104755897,0.15332749328572823
54,菲亚梅塔,1,0.0427241139703592,0.2051414484593516,0.08274626971699894,0.01093425507699599,0.173609856191885,0.1541947000302887,0.02026066694061373,0.19015274104505933,0.006567868687076754,0.11366807988137086
55,号角,9,0.10953090035114192,0.09199069672871266,0.1548558592921247,0.038215566670526425,0.05256915597738196,0.16161082357904732,0.06401370012836015,0.1351003652580607,0.02389346097977535,0.16821947103486878
56,流明,7,0.056910592314047125,0.17433071963746377,0.10199687149444006,0.015731157633698315,0.13210682338224108,0.16449089488278903,0.028410328211459102,0.18419575449486206,0.009540938527950725,0.13228591942104878
57,艾丽妮,7,0.05417855011197709,0.1776867503327412,0.09985750173774274,0.014526251534994768,0.1318194449016094,0.16628444474680024,0.026517500395842417,0.18827522234447755,0.00877056991424631,0.13208376397956834
58,归溟幽灵鲨,0,0.1679614422948788,0.04086606901729816,0.16028355837527802,0.09570496501710661,0.021084253935145653,0.10684294744500042,0.13404219726398875,0.07179722403088955,0.06568759997600543,0.13572974264440876
59,黑键,5,0.07581322240840804,0.13785468477221546,0.12604959604551458,0.02229616585229852,0.09063963701348622,0.17189716661123955,0.03958066186363994,0.16897132682661486,0.013622585783190548,0.15327495282339224
60,多萝西,2,0.14104734218852166,0.06339414523279584,0.16596179643512576,0.0616693600423128,0.03435512540514273,0.13731257605812,0.095272908743497,0.10222648826409327,0.04022754087598307,0.15853271675440786
61,鸿雪,9,0.1124853313068853,0.08898655586897913,0.15592170883765963,0.04044589406899956,0.050490090764840664,0.15945723621063226,0.06693354658383019,0.13209417803616155,0.025445458663480598,0.16773999965853123
62,百炼嘉维尔,9,0.11129827385105547,0.0897015882324507,0.15640774965442214,0.03896283290449128,0.05085314056932085,0.16091450176384758,0.06523416485124552,0.1332043007961963,0.024329474618966392,0.16909397275800375
63,玛恩纳,6,0.17355326867054743,0.019703924957319655,0.1239045048883237,0.16488842870669068,0.009733891962759584,0.06316942618255404,0.1869931467852753,0.03784572976283439,0.13036921768801968,0.08983846039567568
64,白铁,5,0.08630569269202673,0.12289667580698262,0.13587231295791655,0.02673536479397208,0.07803056297074781,0.1698680265914385,0.04668699268464136,0.15851453838856905,0.016425182946273303,0.15866465016743217
65,伺夜,4,0.024668791914556256,0.24484797212384252,0.052212071027206895,0.005801445233491524,0.2891796682335552,0.11905686544867677,0.011065899465534894,0.173197386187558,0.0034542321620716666,0.07651566820350617
66,斥罪,9,0.11812867441022003,0.08377505962403727,0.15947800907630252,0.043228641302490246,0.04726812713150511,0.15605063361886842,0.07129262209283946,0.12609732603185797,0.027239519659926586,0.16744138705195247
67,缄默德克萨斯,3,0.15230546675896603,0.010601571427084549,0.08791282820071399,0.22140014182293807,0.005095313112099449,0.03813592804794245,0.2069076140368959,0.021465972828228,0.19847423763483985,0.05770092613029171
68,焰影苇草,6,0.1667402904265572,0.01452818943020253,0.1063307312468676,0.19294785010388618,0.007057717221647113,0.049671903369325934,0.20164448776858682,0.02878650390080263,0.15914618055010196,0.07314614598202207
69,林,2,0.15081945244766548,0.055892272654242604,0.1668216166711265,0.07008927508418064,0.029838929933657256,0.1285955047706268,0.10620676419542967,0.09258120806408138,0.04603582004296064,0.15311915613602883
70,重岳,5,0.0950757360676964,0.11145227128667583,0.14162190043157427,0.03210613429093714,0.06842852930272586,0.16627927731612735,0.05413272494760229,0.15013104687865148,0.02007933553819787,0.16069304393981143
71,仇白,0,0.17688626482411934,0.032257465284919906,0.15365295147491953,0.11411707165523045,0.01630720551799623,0.0921671198192088,0.1527362703150829,0.05894057690115746,0.08009947372914215,0.12283560047822328
72,麒麟R夜刀,6,0.16849839840096256,0.015073749158426944,0.10889094380243139,0.18877750445035815,0.007344430509992191,0.05124437842965102,0.20032266882955607,0.029728179945172253,0.15496176234036485,0.07515798413308447
73,伊内丝,8,0.12322411537011162,0.007108288132084627,0.06458067208650921,0.2473702280816086,0.0033956102016319957,0.02642506078302001,0.19399785909217454,0.014635911329374293,0.27841589893063,0.040846355992854945
74,淬羽赫默,1,0.037120556139436905,0.21774304553687335,0.07408113583819409,0.009170671345441913,0.20333562943687805,0.14543103564951862,0.01723709911460105,0.1868707383610923,0.005480340728008342,0.10352974784995554
75,霍尔海雅,1,0.04302616636392613,0.20332232873590952,0.08398540779489616,0.01083992307621172,0.1706130542038521,0.15570159331238917,0.020240577004653336,0.19028062560549594,0.006488682794118888,0.11550164110854719
76,缪尔赛思,0,0.1701022319824547,0.037353028757753565,0.15594363635610162,0.10518091699095972,0.019180378541020695,0.10026362649728245,0.14197719697706693,0.06636983491294311,0.0743039706662538,0.12932517831816343
77,圣约送葬人,5,0.09883585041262155,0.10509318764254368,0.14617115970929118,0.03328804130977778,0.06251186241027624,0.16634538195458057,0.05628049682397928,0.14638841738823216,0.020748183773127604,0.16433741857557
78,提丰,9,0.12194001526174306,0.08060865222046823,0.1584368601128583,0.04828263475197599,0.04548918500083525,0.1514520059596739,0.07694147105933377,0.12188745589614831,0.031074531182705964,0.16388718855425743
79,琳琅诗怀雅,1,0.04289368740511003,0.2036011713093056,0.08372320428553079,0.01080330964661406,0.17132572488920475,0.15548799897941715,0.02016999799526365,0.19033467167179524,0.0064622705869746555,0.11519796323078405
80,纯烬艾雅法拉,6,0.17195050861341296,0.01942043614928961,0.1219158926209436,0.16760687943633576,0.009586958165704304,0.06217783974748767,0.1877695043602218,0.0372710439033709,0.134002269028854,0.08829866797437934
81,涤火杰西卡,2,0.13093566314562208,0.07230760853677855,0.1656032707284771,0.05110981954908542,0.039866698670855724,0.14717797518746364,0.08261185667265833,0.11325847880570182,0.032468870932344136,0.16465975777101322
82,赫德雷,2,0.13775651065097752,0.06677375223133004,0.16558342938574686,0.05815084863226712,0.03664554311955733,0.14037379572796416,0.09113020107638886,0.10595684354324401,0.03758189628137416,0.1600471793511498
83,止颂,4,0.02420612057752708,0.24546237138146185,0.05142955111741808,0.00566421091701504,0.29314817273275656,0.11796926790943406,0.010825887291251467,0.17238197698147936,0.00336949262339415,0.07554294846826247
84,薇薇安娜,9,0.11448966623731996,0.08813974564752332,0.15623272755812434,0.0419170070998919,0.05054450160106329,0.15742235266986096,0.06893232327769917,0.129870873806336,0.026502787512429415,0.16594801458975159
85,塑心,6,0.16789177737663163,0.014423008938820906,0.1068688995264991,0.1920379098597406,0.007005111791651768,0.04958685523440082,0.20212386228798207,0.028593362487089907,0.1583136644448906,0.07315554805229287
86,锏,0,0.17931998362036558,0.02234228571674449,0.13469362070905708,0.14868598931503135,0.011041317401344392,0.07069069570166706,0.1794023207710948,0.04268629200585785,0.11149206501292688,0.09964542974591042
